"temperature","humidity","label","soil_moisture"
20.87974371,82.00274423,"rice",30.2610454290682
21.77046169,80.31964408,"rice",41.9172395784969
23.00445915,82.3207629,"rice",24.6885977136242
26.49109635,80.15836264,"rice",41.8717562894974
20.13017482,81.60487287,"rice",35.4400646786657
23.05804872,83.37011772,"rice",41.9332028057538
22.70883798,82.63941394,"rice",28.9478269232126
20.27774362,82.89408619,"rice",43.7743087303327
24.51588066,83.5352163,"rice",23.2538260336213
23.22397386,83.03322691,"rice",14.8931435746436
26.52723513,81.41753846,"rice",11.6993016569153
23.97898217,81.45061596,"rice",44.8989811943372
26.80079604,80.88684822,"rice",48.1690426177001
24.01497622,82.05687182,"rice",36.0525805375288
25.66585205,80.66385045,"rice",21.5813630518253
24.28209415,80.30025587,"rice",48.4672153449129
21.58711777,82.7883708,"rice",29.6231775635339
23.79391957,80.41817957,"rice",21.5406935843534
21.8652524,80.1923008,"rice",14.6465155388422
23.57943626,83.58760316,"rice",46.8314225563269
21.32504158,80.47476396,"rice",39.0546575483617
25.15745531,83.11713476,"rice",40.0416439391897
21.94766735,80.97384195,"rice",17.0087708231429
21.0525355,82.67839517,"rice",28.4836833870494
23.48381344,81.33265073,"rice",31.4323687385111
25.0756354,80.52389148,"rice",21.8659198509919
26.35927159,84.04403589,"rice",20.1393471344783
24.52922681,80.54498576,"rice",13.6712846309387
20.77576147,84.49774397,"rice",40.000159436541
22.30157427,80.64416466,"rice",12.4571678506536
21.44653958,84.94375962,"rice",43.5445759372388
22.17931888,80.33127223,"rice",30.9995325454506
24.52783742,82.73685569,"rice",32.4942681268937
20.26707606,81.63895217,"rice",30.4031103927792
25.7354293,83.88266234,"rice",43.1963971010495
26.79533926,82.1480873,"rice",16.0635724038237
26.75754171,81.17734011,"rice",30.9091514137681
23.86330467,83.15250801,"rice",28.2858362222844
21.01944696,82.95221726,"rice",45.8406992058716
24.17298839,83.7287574,"rice",13.7466387975798
22.78133816,82.06719137,"rice",14.8757897057719
25.62980105,83.52842314,"rice",39.0702095730469
25.59704938,80.14509262,"rice",15.0468067504103
23.83067496,84.81360127,"rice",32.5664508515693
26.31355498,82.36698992,"rice",28.0007528735866
24.8972823,80.52586088,"rice",48.8171052844965
24.958779,84.47963372,"rice",20.5159459036011
